counterparty,mode,amount,hour,day_of_week,freq_per_week,avg_amount_counterparty,transaction_count_counterparty,days_since_last_transaction,category
Ola Cabs,UPI,123.86,9,Monday,3,129.58,17,2,Transport
City Bus,UPI,323.8,13,Saturday,5,273.25,48,4,Transport
City Mart,UPI,756.52,19,Tuesday,5,1060.36,4,0,Groceries
Event Ticket,UPI,1118.32,15,Wednesday,1,1415.43,5,37,Entertainment
Ananya Stores,UPI,616.4,21,Wednesday,1,898.18,27,0,Groceries
Exam Cell,UPI,1908.52,15,Tuesday,1,1833.48,7,180,Miscellaneous
Metro Cab,CASH,1573.65,9,Saturday,1,1969.43,13,12,Transport
Local Mart,UPI,2736.69,20,Wednesday,3,1713.12,16,1,Groceries
Priya Sharma,NETBANKING,16610.68,18,Thursday,3,23305.48,6,12,Miscellaneous
Ola Cabs,UPI,150.75,17,Saturday,3,125.83,29,6,Transport
Airtel,NETBANKING,7544.46,15,Saturday,3,2853.41,4,5,Miscellaneous
Annapurna,UPI,1046.24,13,Wednesday,2,1313.85,11,1,Food
Fresh Point,CARD,1589.13,18,Tuesday,5,1536.97,8,11,Groceries
BSNL,UPI,1579.83,20,Thursday,3,1408.04,4,2,Miscellaneous
Online Course,CARD,19751.79,9,Saturday,2,22130.38,2,63,Miscellaneous
Flipkart,CARD,875.51,20,Monday,2,839.14,3,3,Miscellaneous
Internet Services,CARD,3456.05,12,Monday,1,4262.29,11,1,Miscellaneous
Airtel,UPI,4361.79,18,Monday,3,2774.18,5,8,Miscellaneous
City Mart,UPI,419.32,19,Sunday,1,507.49,4,2,Groceries
Suresh,CARD,770.98,21,Thursday,6,397.27,7,10,Food
Game Store,CARD,1228.78,15,Saturday,2,744.85,10,2,Entertainment
Metro Cab,UPI,1634.83,7,Thursday,5,1428.0,17,1,Transport
City Mart,CARD,792.5,11,Wednesday,2,673.29,6,1,Groceries
University Fees,UPI,510.75,9,Wednesday,1,524.7,6,11,Miscellaneous
General Store,CARD,1048.9,10,Sunday,1,1598.91,6,17,Miscellaneous
Reliance Smart,CARD,1576.79,8,Saturday,1,1222.13,20,4,Groceries
City Mart,UPI,282.8,11,Saturday,3,357.95,4,1,Groceries
Power Services,NETBANKING,2181.95,11,Saturday,1,3262.52,5,22,Miscellaneous
Medical Store,CARD,5686.62,18,Monday,3,5423.88,6,26,Miscellaneous
Kumar Cafe,UPI,159.45,21,Wednesday,2,72.88,10,1,Food
Medical Store,UPI,156.71,17,Friday,1,98.68,3,5,Miscellaneous
City Mart,UPI,1287.42,17,Tuesday,1,1663.97,8,2,Groceries
Training Center,UPI,613.49,17,Saturday,1,632.35,5,59,Miscellaneous
Apollo,NETBANKING,2794.01,9,Sunday,2,2389.23,4,14,Miscellaneous
Ola Cabs,CASH,884.84,20,Monday,3,762.25,14,1,Transport
Local Store,CARD,893.2,14,Tuesday,2,559.65,11,2,Miscellaneous
Kumar Enterprises,UPI,1486.93,17,Saturday,1,1340.05,2,7,Miscellaneous
Hostel Rent,UPI,8436.19,21,Thursday,1,8438.13,2,12,Miscellaneous
Local Cafe,UPI,1097.47,13,Monday,7,1397.88,13,3,Food
Reliance Smart,UPI,1185.92,10,Tuesday,3,1101.56,7,3,Groceries
Travel Agency,CASH,3820.88,12,Monday,1,4423.12,4,45,Miscellaneous
BookMyShow,UPI,306.26,18,Thursday,1,340.04,9,3,Entertainment
Electricity Office,UPI,2483.71,10,Sunday,1,4493.23,3,11,Miscellaneous
Sai Restaurant,UPI,280.12,19,Sunday,4,259.61,10,1,Food
Campus Canteen,UPI,116.04,7,Friday,3,88.53,24,0,Food
Friend,CARD,301.16,11,Thursday,2,484.45,15,21,Miscellaneous
Rahul Kumar,UPI,249.55,8,Saturday,6,242.46,27,5,Food
PVR,UPI,172.35,12,Thursday,3,164.5,10,16,Entertainment
Netflix,NETBANKING,390.12,22,Wednesday,1,458.48,3,2,Entertainment
Bus Booking,NETBANKING,3558.33,19,Friday,1,2563.78,3,21,Miscellaneous
Local Cafe,UPI,469.14,13,Wednesday,3,1485.86,16,6,Food
General Store,CARD,10548.02,11,Thursday,2,7519.74,4,22,Miscellaneous
Electro World,UPI,2413.69,12,Saturday,2,1253.45,3,17,Miscellaneous
City Bus,CARD,598.92,8,Wednesday,2,685.88,10,0,Transport
Metro Cab,CASH,183.52,20,Monday,2,195.71,28,2,Transport
Exam Cell,CASH,3086.1,12,Friday,1,3749.88,4,118,Miscellaneous
Kumar Cafe,UPI,290.99,13,Saturday,4,337.79,12,3,Food
Annapurna,UPI,124.17,22,Monday,3,158.35,14,1,Food
Suresh,UPI,484.94,19,Friday,5,667.11,11,3,Food
Travel Agency,CARD,1356.53,21,Wednesday,3,1062.27,5,36,Miscellaneous
Reliance Smart,CARD,581.12,21,Thursday,2,538.07,10,6,Groceries
Ananya Stores,UPI,466.09,18,Saturday,3,352.31,6,17,Groceries
Flipkart,UPI,1275.43,10,Monday,2,819.3,19,8,Miscellaneous
Game Store,CARD,130.8,14,Wednesday,1,138.11,9,28,Entertainment
Local Pharmacy,CARD,126.2,17,Sunday,1,94.36,4,3,Miscellaneous
Sai Restaurant,UPI,1154.86,20,Tuesday,2,911.97,8,12,Food
Apollo,UPI,7268.12,10,Monday,3,3717.49,5,37,Miscellaneous
Cab Service,UPI,47.68,13,Friday,4,56.59,12,8,Transport
Rapido,UPI,340.3,18,Thursday,4,380.87,2,5,Transport
Local Mart,CARD,1558.49,8,Sunday,1,1434.63,9,5,Groceries
Neha,NETBANKING,5104.22,19,Sunday,5,5568.47,5,1,Miscellaneous
Training Center,CARD,1013.33,14,Wednesday,3,2240.99,2,17,Miscellaneous
Electricity Office,CARD,762.26,14,Sunday,1,488.51,2,6,Miscellaneous
Green Bites,UPI,477.13,12,Sunday,7,325.51,30,2,Food
Local Cafe,UPI,127.02,12,Friday,3,90.49,9,3,Food
Apollo,CARD,115.49,13,Monday,1,270.1,4,53,Miscellaneous
Game Store,CASH,135.84,18,Monday,2,264.88,10,1,Entertainment
Property Manager,UPI,10250.68,18,Saturday,1,9374.18,5,20,Miscellaneous
Kumar Cafe,UPI,1256.24,21,Friday,6,1328.56,28,0,Food
Campus Canteen,UPI,833.14,8,Sunday,3,1484.5,7,1,Food
Water Board,CARD,4583.21,12,Monday,1,4120.7,4,55,Miscellaneous
Local Store,CASH,1502.34,15,Monday,1,1720.94,7,2,Miscellaneous
Netflix,CARD,107.76,22,Friday,1,124.82,4,96,Entertainment
Ola Cabs,CASH,1249.51,22,Friday,1,1522.59,6,3,Transport
Internet Services,NETBANKING,4426.15,17,Saturday,1,2567.64,15,12,Miscellaneous
Priya Foods,UPI,418.45,8,Wednesday,6,762.47,23,0,Food
Game Store,UPI,102.41,20,Monday,3,83.44,15,6,Entertainment
Myntra,NETBANKING,734.29,12,Sunday,2,715.91,4,2,Miscellaneous
Cab Service,CARD,68.21,22,Sunday,6,52.02,27,7,Transport
Metro Cab,UPI,1985.2,7,Wednesday,5,1538.34,28,1,Transport
Clinic,UPI,2618.71,14,Monday,1,3311.49,3,38,Miscellaneous
Sai Restaurant,UPI,124.46,8,Monday,5,115.5,39,2,Food
Game Store,CARD,1349.19,12,Saturday,2,2428.42,4,22,Entertainment
Medical Store,UPI,2511.26,10,Friday,2,2580.73,2,55,Miscellaneous
Power Services,UPI,390.15,11,Sunday,1,493.95,17,68,Miscellaneous
Power Services,CASH,408.21,20,Friday,1,450.55,3,18,Miscellaneous
Online Course,UPI,2383.24,9,Wednesday,1,1119.71,4,135,Miscellaneous
Airtel,UPI,683.07,20,Friday,2,644.74,6,16,Miscellaneous
Fashion Point,CASH,8993.97,12,Thursday,2,5990.86,6,23,Miscellaneous
Hostel Rent,UPI,13159.35,8,Friday,1,8369.16,2,24,Miscellaneous
Local Cafe,UPI,861.58,21,Thursday,7,960.36,19,1,Food
Rakesh,UPI,149.23,21,Sunday,7,140.23,7,3,Food
Annapurna,UPI,1295.79,13,Saturday,1,2205.78,23,0,Food
Sai Restaurant,UPI,1098.91,7,Thursday,5,1546.38,60,4,Food
Local Cafe,UPI,229.62,9,Tuesday,2,220.58,14,3,Food
Health Care,CARD,2002.44,16,Saturday,1,3025.68,6,6,Miscellaneous
Power Services,UPI,399.64,15,Thursday,1,243.67,1,1,Miscellaneous
Water Board,CASH,3094.97,17,Monday,1,1945.09,8,48,Miscellaneous
Green Bites,CARD,792.79,20,Tuesday,1,926.77,25,0,Food
Maa Grocery,CASH,312.01,17,Wednesday,3,366.62,7,1,Groceries
Game Store,CARD,373.69,14,Thursday,4,305.24,5,6,Entertainment
BSNL,UPI,1312.3,16,Saturday,1,1042.47,5,10,Miscellaneous
Rakesh,UPI,1018.41,7,Sunday,4,1080.97,22,7,Food
Annapurna,UPI,131.79,13,Saturday,5,87.03,28,10,Food
City Bus,UPI,56.25,9,Friday,4,54.83,18,1,Transport
Kumar Cafe,UPI,336.85,12,Thursday,3,334.99,5,1,Food
Fresh Basket,CARD,388.07,17,Sunday,1,388.82,5,1,Groceries
Myntra,CARD,3237.69,12,Thursday,1,3589.34,11,6,Miscellaneous
Local Pharmacy,UPI,1486.87,9,Tuesday,1,1614.11,12,29,Miscellaneous
City Hospital,CARD,297.41,11,Sunday,5,365.74,2,17,Miscellaneous
Suresh,CARD,134.66,8,Saturday,5,119.8,27,2,Food
Sai Restaurant,UPI,232.69,13,Wednesday,4,274.82,9,1,Food
Local Cafe,CARD,98.03,7,Monday,5,81.3,18,2,Food
Electro World,CARD,1558.07,17,Friday,3,1283.24,8,3,Miscellaneous
Campus Canteen,UPI,1392.92,20,Monday,3,1747.27,7,2,Food
Software Service,NETBANKING,216.7,22,Tuesday,2,196.13,4,27,Entertainment
City Hospital,CARD,363.25,9,Saturday,1,382.74,3,1,Miscellaneous
Online Course,NETBANKING,598.0,8,Monday,2,726.16,6,20,Miscellaneous
Metro Cab,UPI,1654.57,17,Sunday,5,1295.6,23,7,Transport
Room Owner,UPI,10757.52,12,Tuesday,3,7695.69,6,20,Miscellaneous
City Mart,UPI,1318.28,11,Friday,3,906.94,9,1,Groceries
Priya Sharma,UPI,4076.26,17,Thursday,5,3585.3,2,7,Miscellaneous
IRCTC,CASH,13159.23,10,Sunday,1,24010.87,5,34,Miscellaneous
Amazon Prime,CARD,379.01,8,Saturday,1,423.57,4,44,Entertainment
Clinic,NETBANKING,125.74,12,Saturday,1,130.8,11,23,Miscellaneous
Daily Needs,CARD,289.99,11,Saturday,1,406.93,8,1,Groceries
Metro Cab,UPI,1573.45,19,Saturday,3,1414.15,31,5,Transport
Metro Cab,UPI,137.0,17,Sunday,1,104.77,20,1,Transport
Kiran,CARD,297.75,21,Wednesday,1,363.83,7,5,Miscellaneous
Fresh Point,CARD,1045.98,10,Saturday,2,634.34,11,0,Groceries
Electricity Office,UPI,769.52,11,Wednesday,1,654.6,8,35,Miscellaneous
Flipkart,UPI,1335.3,11,Thursday,1,1812.18,12,10,Miscellaneous
Local Pharmacy,UPI,317.22,15,Saturday,1,296.88,3,62,Miscellaneous
Water Board,UPI,2521.9,12,Tuesday,2,2070.33,4,4,Miscellaneous
BookMyShow,CARD,144.05,19,Thursday,2,139.9,5,32,Entertainment
Rakesh,UPI,108.84,9,Tuesday,3,162.91,28,6,Food
College Office,NETBANKING,441.24,13,Monday,1,557.89,7,111,Miscellaneous
Metro Cab,UPI,137.94,7,Friday,6,186.95,11,0,Transport
Power Services,UPI,2267.75,11,Monday,1,1493.6,5,19,Miscellaneous
Amazon,UPI,5729.77,18,Thursday,1,4880.98,10,3,Miscellaneous
Kumar Enterprises,CASH,4510.67,18,Thursday,2,4075.21,6,0,Miscellaneous
Electricity Office,NETBANKING,6054.52,18,Saturday,1,10779.48,4,17,Miscellaneous
Airline,NETBANKING,601.86,6,Thursday,3,538.65,2,16,Miscellaneous
BSNL,UPI,304.41,12,Tuesday,2,266.51,4,17,Miscellaneous
Sai Restaurant,UPI,85.51,12,Saturday,5,81.36,10,4,Food
Campus Canteen,UPI,470.01,13,Sunday,4,305.82,3,2,Food
Internet Services,UPI,3253.27,15,Wednesday,1,3185.31,35,10,Miscellaneous
Local Mart,CASH,2630.54,19,Monday,3,3935.71,4,6,Groceries
Event Ticket,UPI,952.51,22,Thursday,1,1504.63,12,9,Entertainment
Annapurna,CARD,889.64,9,Monday,5,719.71,12,10,Food
Daily Needs,UPI,914.49,19,Tuesday,2,1483.53,6,3,Groceries
PVR,UPI,116.91,14,Sunday,1,134.1,26,18,Entertainment
Power Services,CARD,2669.48,14,Saturday,2,2017.19,1,43,Miscellaneous
Metro Cab,UPI,2475.8,17,Tuesday,1,4071.21,26,2,Transport
Metro Cab,UPI,955.26,18,Friday,4,1269.83,27,4,Transport
Rahul Kumar,CARD,132.02,21,Sunday,3,173.2,2,5,Food
Health Care,UPI,9348.22,9,Friday,4,9242.57,8,82,Miscellaneous
Cab Service,CASH,93.92,9,Monday,1,89.44,17,3,Transport
Internet Services,UPI,2668.26,14,Sunday,1,3316.35,3,7,Miscellaneous
Flipkart,UPI,702.3,11,Saturday,1,459.45,3,12,Miscellaneous
Priya Foods,CARD,1060.89,22,Wednesday,3,937.01,9,13,Food
Electro World,UPI,1043.64,16,Friday,2,419.24,5,0,Miscellaneous
Electro World,UPI,259.56,12,Saturday,2,149.77,10,9,Miscellaneous
Ola Cabs,UPI,132.07,18,Sunday,5,70.78,22,0,Transport
Flipkart,UPI,274.96,20,Saturday,1,375.83,4,15,Miscellaneous
Daily Needs,UPI,908.57,12,Thursday,1,619.59,16,9,Groceries
Priya Foods,UPI,624.74,8,Friday,4,436.67,12,2,Food
Local Store,CARD,1139.96,17,Saturday,2,726.7,2,2,Miscellaneous
Movie Zone,UPI,571.74,22,Wednesday,1,367.37,7,0,Entertainment
Campus Canteen,UPI,998.98,21,Monday,5,788.08,8,4,Food
PVR,UPI,251.6,20,Friday,1,415.24,11,4,Entertainment
Auto Driver,UPI,670.64,7,Thursday,4,574.52,15,1,Transport
PVR,CARD,1031.43,18,Saturday,3,1340.08,5,1,Entertainment
Fashion Point,CARD,1201.4,17,Monday,1,1200.97,4,12,Miscellaneous
Internet Services,UPI,611.56,10,Monday,1,673.08,4,13,Miscellaneous
Priya Foods,UPI,137.3,8,Thursday,2,67.29,12,2,Food
Electricity Office,NETBANKING,4483.89,9,Monday,1,4292.95,6,11,Miscellaneous
Training Center,UPI,18828.0,13,Thursday,1,24456.36,4,23,Miscellaneous
Flipkart,NETBANKING,793.54,18,Saturday,2,1592.96,5,7,Miscellaneous
Myntra,CARD,616.27,16,Thursday,1,582.03,3,3,Miscellaneous
Priya Foods,UPI,694.41,19,Tuesday,3,980.66,17,5,Food
Power Services,CARD,2201.12,16,Tuesday,1,2555.72,4,5,Miscellaneous
Friend,UPI,3043.16,20,Wednesday,1,3415.74,11,26,Miscellaneous
Software Service,NETBANKING,732.29,18,Friday,1,847.89,6,10,Entertainment
Amazon,UPI,1510.43,10,Sunday,1,1996.65,2,18,Miscellaneous
Rahul Kumar,UPI,576.64,8,Thursday,2,591.82,7,1,Food
Local Cafe,UPI,333.73,21,Thursday,5,336.07,7,2,Food
Clinic,CASH,110.8,18,Sunday,1,127.09,5,53,Miscellaneous
Electro World,CARD,1119.09,20,Monday,2,896.75,5,9,Miscellaneous
Training Center,NETBANKING,9332.3,13,Saturday,1,5772.48,7,60,Miscellaneous
Cab Service,CASH,99.41,7,Sunday,3,152.81,9,1,Transport
Suresh,UPI,142.9,14,Friday,3,119.7,18,2,Food
Ola Cabs,UPI,266.34,8,Sunday,4,238.27,5,1,Transport
Priya Foods,UPI,442.74,9,Saturday,6,433.68,57,2,Food
MakeMyTrip,UPI,1596.82,17,Wednesday,2,2077.88,6,163,Miscellaneous
City Mart,UPI,2270.06,19,Saturday,2,2039.42,6,8,Groceries
Landlord,UPI,10921.57,18,Sunday,1,6319.86,2,6,Miscellaneous
Daily Needs,CARD,2748.14,11,Thursday,1,3392.57,5,1,Groceries
Local Store,CARD,707.16,19,Monday,1,1213.76,7,2,Miscellaneous
Property Manager,NETBANKING,29191.81,9,Monday,1,14164.48,2,48,Miscellaneous
Jio,UPI,2140.94,9,Wednesday,3,1818.48,2,2,Miscellaneous
Movie Zone,CARD,558.93,22,Friday,3,399.02,4,5,Entertainment
Amazon,UPI,1526.64,12,Thursday,2,1666.5,3,6,Miscellaneous
Power Services,UPI,394.09,14,Friday,2,519.88,2,74,Miscellaneous
Maa Grocery,UPI,298.96,8,Sunday,3,460.3,20,2,Groceries
College Office,UPI,7031.12,10,Tuesday,2,5614.61,6,73,Miscellaneous
Ola Cabs,UPI,585.81,8,Tuesday,4,533.43,22,5,Transport
Suresh,CARD,529.13,7,Friday,7,808.33,15,1,Food
City Bus,CARD,1741.6,20,Sunday,3,1827.54,49,1,Transport
City Bus,CASH,1453.7,18,Sunday,2,1622.14,6,1,Transport
Rahul Kumar,CASH,612.61,20,Thursday,3,735.22,10,2,Food
Auto Driver,UPI,53.24,18,Wednesday,6,81.11,11,7,Transport
Rajesh,NETBANKING,5522.64,18,Tuesday,1,4601.07,3,58,Miscellaneous
Campus Canteen,UPI,1385.79,14,Tuesday,4,1293.15,17,2,Food
Training Center,CASH,4922.33,17,Tuesday,1,5007.34,3,34,Miscellaneous
YouTube,NETBANKING,1772.32,21,Friday,2,1309.2,2,14,Entertainment
Priya Foods,UPI,637.7,22,Tuesday,2,535.36,11,2,Food
Ananya Stores,UPI,150.61,8,Friday,2,244.4,7,4,Groceries
Online Course,UPI,352.24,19,Monday,1,393.15,4,33,Miscellaneous
Local Store,CASH,214.92,19,Wednesday,3,239.45,4,4,Miscellaneous
Medical Store,CASH,7161.59,9,Friday,1,12264.02,10,22,Miscellaneous
Fashion Point,CARD,843.23,19,Sunday,1,788.24,6,0,Miscellaneous
Exam Cell,UPI,4916.94,14,Sunday,2,7966.91,12,3,Miscellaneous
Medical Store,UPI,151.61,12,Thursday,1,102.33,5,29,Miscellaneous
Fresh Basket,CASH,648.12,12,Wednesday,3,768.8,11,1,Groceries
Priya Sharma,CASH,570.37,17,Friday,1,374.29,4,2,Miscellaneous
Electricity Office,CARD,867.7,10,Tuesday,1,750.76,11,57,Miscellaneous
Sai Restaurant,UPI,595.38,12,Sunday,7,557.22,60,0,Food
Local Mart,UPI,617.61,8,Tuesday,1,553.27,13,6,Groceries
Daily Needs,CASH,632.54,18,Thursday,1,579.1,13,1,Groceries
Cab Service,UPI,1912.36,19,Thursday,1,1564.33,26,2,Transport
Campus Canteen,UPI,139.73,14,Thursday,5,132.2,7,2,Food
Hotel,NETBANKING,13243.27,20,Tuesday,1,15934.8,5,2,Miscellaneous
Flipkart,UPI,699.91,20,Tuesday,1,623.99,6,3,Miscellaneous
Local Cafe,CARD,177.31,13,Monday,5,127.88,6,1,Food
Book Store,CARD,5283.8,13,Monday,1,6073.53,3,14,Miscellaneous
Hostel Rent,NETBANKING,5031.29,21,Friday,1,4379.41,8,3,Miscellaneous
Spotify,NETBANKING,867.84,2,Saturday,2,456.0,3,15,Entertainment
College Office,CASH,1861.28,19,Tuesday,1,2084.39,2,30,Miscellaneous
PVR,CARD,660.0,21,Wednesday,1,449.18,12,13,Entertainment
Rakesh,NETBANKING,180.07,12,Tuesday,5,149.21,9,1,Food
Electricity Office,UPI,415.93,11,Saturday,4,291.08,9,17,Miscellaneous
Netflix,CARD,128.08,1,Friday,1,68.75,13,8,Entertainment
Kumar Cafe,UPI,359.78,13,Tuesday,3,328.53,23,4,Food
Clinic,CASH,3305.87,9,Tuesday,1,3305.22,4,8,Miscellaneous
Amazon,UPI,1691.36,15,Tuesday,3,2520.91,6,10,Miscellaneous
Property Manager,NETBANKING,22297.83,19,Thursday,2,10425.14,2,0,Miscellaneous
Annapurna,UPI,722.82,22,Friday,3,457.91,30,1,Food
Priya Foods,CARD,430.84,14,Saturday,3,674.27,10,3,Food
Myntra,CARD,8294.45,21,Saturday,2,7125.05,10,17,Miscellaneous
Annapurna,UPI,250.81,7,Saturday,4,159.0,11,3,Food
Priya Foods,UPI,1029.15,7,Tuesday,3,1450.79,4,1,Food
City Bus,CASH,247.53,10,Saturday,6,242.43,15,0,Transport
Online Course,NETBANKING,599.14,17,Wednesday,1,503.91,7,22,Miscellaneous
Health Care,UPI,3080.92,14,Thursday,1,2367.17,2,8,Miscellaneous
Metro Cab,CASH,224.08,18,Wednesday,3,178.51,15,1,Transport
Local Mart,UPI,369.02,10,Monday,2,371.57,5,5,Groceries
Daily Needs,UPI,234.95,20,Friday,2,261.06,15,2,Groceries
Gaming Cafe,CARD,519.27,20,Thursday,3,1151.95,6,1,Entertainment
Local Pharmacy,NETBANKING,163.99,9,Monday,1,107.92,9,37,Miscellaneous
Priya Sharma,UPI,23872.51,15,Thursday,1,26711.49,11,7,Miscellaneous
Health Care,CARD,133.83,8,Monday,1,137.88,8,6,Miscellaneous
Daily Needs,UPI,352.71,21,Saturday,4,229.31,4,2,Groceries
Priya Foods,UPI,1086.68,22,Thursday,1,743.28,32,3,Food
Myntra,CARD,7553.14,18,Friday,3,7573.62,1,23,Miscellaneous
Jio,UPI,1563.98,20,Tuesday,1,1656.31,3,38,Miscellaneous
City Mart,UPI,1139.5,17,Saturday,2,1753.73,11,2,Groceries
Sai Restaurant,UPI,192.33,8,Sunday,3,229.21,13,1,Food
Ola Cabs,CASH,52.88,17,Thursday,4,68.31,8,15,Transport
Ananya Stores,UPI,195.19,11,Tuesday,5,137.34,4,2,Groceries
Game Store,CARD,2597.05,20,Wednesday,1,2549.1,2,1,Entertainment
Annapurna,UPI,738.74,19,Thursday,5,1057.35,7,6,Food
Maa Grocery,UPI,3384.42,12,Wednesday,4,2787.88,2,0,Groceries
Rajesh,UPI,7527.49,18,Sunday,1,8077.1,4,22,Miscellaneous
Priya Sharma,NETBANKING,14537.18,15,Friday,1,9729.54,4,31,Miscellaneous
Green Bites,NETBANKING,785.32,20,Saturday,4,672.44,24,1,Food
Landlord,NETBANKING,25809.34,12,Wednesday,1,18800.03,3,33,Miscellaneous
Flipkart,UPI,2731.0,15,Thursday,1,2279.35,11,7,Miscellaneous
Friend,UPI,268.02,15,Wednesday,1,284.75,2,5,Miscellaneous
Clinic,UPI,885.02,8,Monday,4,1139.15,10,29,Miscellaneous
Kumar Cafe,UPI,198.35,19,Saturday,2,308.93,21,1,Food
Apollo,CARD,1402.98,17,Friday,1,2264.13,4,11,Miscellaneous
Fresh Basket,UPI,666.41,20,Tuesday,2,840.23,18,6,Groceries
Metro Cab,UPI,762.62,7,Thursday,3,990.39,13,5,Transport
Cab Service,UPI,110.52,8,Sunday,6,167.97,17,6,Transport
Uber,UPI,60.06,20,Friday,3,40.0,9,1,Transport
Local Cafe,CARD,334.38,20,Tuesday,3,208.23,14,0,Food
City Bus,CASH,90.32,7,Wednesday,4,112.0,32,1,Transport
University Fees,UPI,4299.79,9,Monday,1,5148.23,6,11,Miscellaneous
Suresh,NETBANKING,373.48,19,Thursday,6,295.1,9,2,Food
Rakesh,UPI,519.15,21,Friday,4,347.38,13,1,Food
Cab Service,UPI,210.99,22,Tuesday,4,216.23,20,3,Transport
Local Cafe,UPI,548.87,19,Tuesday,5,690.21,19,9,Food
Reliance Smart,UPI,174.76,10,Tuesday,2,173.67,7,6,Groceries
Training Center,UPI,19247.85,12,Monday,1,18073.02,5,11,Miscellaneous
Rahul Kumar,CASH,237.93,22,Friday,2,246.47,6,7,Food
Myntra,CARD,502.04,15,Wednesday,1,386.3,4,2,Miscellaneous
Travel Agency,CARD,6629.67,14,Friday,1,8656.47,3,100,Miscellaneous
Local Mart,CASH,1351.32,11,Monday,3,2051.91,7,3,Groceries
Water Board,UPI,2944.76,15,Wednesday,1,2015.09,2,4,Miscellaneous
Friend,UPI,232.29,20,Friday,3,395.67,9,7,Miscellaneous
Rakesh,UPI,456.43,14,Tuesday,6,386.09,12,5,Food
Power Services,UPI,3543.49,17,Tuesday,1,2240.14,3,8,Miscellaneous
Ola Cabs,UPI,59.26,22,Friday,7,62.87,14,2,Transport
Electricity Office,UPI,822.58,10,Wednesday,1,600.43,4,7,Miscellaneous
Maa Grocery,UPI,1256.42,18,Friday,1,869.45,7,2,Groceries
City Mart,CARD,454.99,8,Monday,5,456.14,14,1,Groceries
Maa Grocery,UPI,280.13,17,Saturday,5,193.65,6,1,Groceries
Maa Grocery,CARD,2658.54,18,Sunday,2,6258.06,19,1,Groceries
Ravi,UPI,12697.03,12,Monday,1,14124.64,4,9,Miscellaneous
Gaming Cafe,CARD,254.43,14,Tuesday,1,255.07,4,1,Entertainment
Fresh Basket,UPI,235.35,8,Wednesday,6,192.32,8,3,Groceries
Metro Cab,UPI,166.85,13,Friday,4,172.24,21,9,Transport
Flipkart,UPI,11609.95,12,Tuesday,2,13663.31,11,7,Miscellaneous
Annapurna,UPI,132.48,7,Monday,6,119.58,9,3,Food
Rajesh,UPI,28648.29,12,Tuesday,3,29996.76,2,101,Miscellaneous
Water Board,NETBANKING,1327.09,20,Sunday,1,679.2,10,6,Miscellaneous
Book Store,UPI,13625.1,14,Saturday,2,20726.14,4,139,Miscellaneous
Campus Canteen,CARD,1288.99,14,Sunday,4,808.27,5,0,Food
Clinic,UPI,2235.31,17,Monday,1,2085.37,3,54,Miscellaneous
Electro World,CARD,1557.04,10,Wednesday,3,1528.45,13,5,Miscellaneous
City Mart,CARD,3341.59,10,Saturday,2,5576.48,13,1,Groceries
Maa Grocery,UPI,194.49,10,Tuesday,2,374.78,6,5,Groceries
City Bus,UPI,481.14,19,Tuesday,5,375.87,27,5,Transport
Reliance Smart,CARD,668.4,10,Wednesday,1,1335.19,5,2,Groceries
Suresh,UPI,419.59,13,Tuesday,3,402.19,15,3,Food
Clinic,UPI,8942.77,10,Saturday,1,10938.48,2,15,Miscellaneous
Medical Store,UPI,893.26,14,Friday,2,961.28,8,48,Miscellaneous
Event Ticket,UPI,2561.16,17,Sunday,1,1577.78,5,3,Entertainment
Jio,NETBANKING,7364.21,10,Saturday,1,12077.75,7,8,Miscellaneous
Internet Services,UPI,839.8,20,Sunday,3,468.35,3,12,Miscellaneous
Local Pharmacy,NETBANKING,1236.74,15,Saturday,1,1581.76,9,62,Miscellaneous
Sai Restaurant,UPI,1125.91,12,Friday,4,2000.24,9,2,Food
Online Course,UPI,4360.3,19,Thursday,1,5910.94,6,68,Miscellaneous
City Bus,UPI,348.91,19,Tuesday,3,339.9,13,2,Transport
Suresh,UPI,285.4,22,Saturday,3,384.09,33,0,Food
Priya Sharma,UPI,888.07,9,Tuesday,2,550.19,4,2,Miscellaneous
Rakesh,NETBANKING,207.88,20,Sunday,4,98.86,12,1,Food
MakeMyTrip,UPI,11325.34,20,Thursday,1,14601.92,6,4,Miscellaneous
Reliance Smart,UPI,2178.39,18,Sunday,3,2075.76,8,1,Groceries
Kumar Enterprises,CARD,369.36,11,Tuesday,2,590.01,12,1,Miscellaneous
Event Ticket,CARD,112.44,14,Thursday,2,97.22,3,7,Entertainment
Local Store,CARD,203.21,12,Friday,3,168.1,13,5,Miscellaneous
Online Course,UPI,362.58,18,Wednesday,1,410.21,14,14,Miscellaneous
Jio,UPI,7605.6,17,Thursday,3,12349.34,4,39,Miscellaneous
Rakesh,UPI,111.37,9,Sunday,4,83.11,20,1,Food
Local Cafe,CARD,1269.92,14,Thursday,5,2067.71,12,2,Food
Fresh Point,CARD,845.44,12,Saturday,3,1559.73,17,2,Groceries
Metro Cab,NETBANKING,1544.45,20,Wednesday,4,877.57,27,6,Transport
Local Cafe,CARD,107.06,20,Monday,4,117.19,16,5,Food
Daily Needs,UPI,2496.88,20,Tuesday,2,3288.24,7,2,Groceries
Rajesh,UPI,14266.04,11,Sunday,2,12375.7,2,66,Miscellaneous
Cab Service,NETBANKING,54.12,17,Wednesday,5,48.46,15,8,Transport
